구분,상담 주제,발화 주체,발화 내용,,,,,,,,,,,
,,선생님,"그래 선생님이 상담할 때, 예전에 실용음악과 갔던 선배들 자료를 참고해서 04이가 내신이랑 교내활동 어떻게 하면 더 도움이 될지 얘기해보면 될 것 같다.",,,,,,,,,,,
,,학생,네 감사합니다.,,,,,,,,,,,
059,학업,학생,"쌤.. 다른 애들은 영어 단어 몇번만 봐도 다 외우고 하는데 저는 머리에 들어오지를 않아서 고민이에요. 중학생때는 A받은 적도 많고 공부를 잘하는 편이었는데, 이제는 퇴화됐는지 암기가 안돼요. 어떻게 공부하면 좋을까요?",,,,,,,,,,,
,,선생님,04이가 공부해도 예전만큼 성과가 나오지 않아 많이 답답했겠다. 공부하는 데에 어떤 점이 가장 답답하게 느껴지니?,,,,,,,,,,,
,,학생,한국사 같이 외우는 과목이면 완벽히 암기했다고 생각해서 다른 친구한테 설명할 정도로 외웠다고 생각했는데요. 막상 시험을 치면 많이 틀려요. 특히 객관식에서요. 뭘 더 어떻게 해야 할 지 감이 안와요.,,,,,,,,,,,
,,선생님,준비가 잘 되었다고 생각해도 시험에서 성적이 안나오면 많이 속상하지. 하지만 다 외웠다고 생각이 돼도 시험 당일이 되면 실수할 수 있어. 암기 과목의 실수를 최대한 줄이려면 어떻게 하면 좋을까?,,,,,,,,,,,
,,학생,글쎄요 그냥 외우는 거 밖에 답이 없지 않을까요?,,,,,,,,,,,
,,선생님,외우는 게 제일 중요하지. 하지만 더 잘 외울 수 있도록 다양한 방법을 써볼 수는 있어. 친구들에게 설명하는 것 같이 다양한 방식으로 외운 것을 활용해보면 도움이 될 수 있어. 선생님과 상담하면서 더 좋은 방법이 있을지 같이 도와주면 어떨까?,,,,,,,,,,,
,,학생,네 저 진짜 성적 올려야해요...,,,,,,,,,,,
,,선생님,그래 다음 시험에 더 나은 성적을 받을 수 있도록 선생님이 도와줄게,,,,,,,,,,,
,,학생,네...감사합니다.,,,,,,,,,,,
061,학업,학생,"안녕하세요. 저는 고1입니다. 사회학과를 희망하고 있는데, 대입준비를 하면서 생기부를 어떻게 준비할지 의문이 있어서요. ",,,,,,,,,,,
,,선생님,"사회학과에 진학하기 위해서 생기부를 어떻게 준비해야할지 고민이구나, 어떤 점이 궁금하니?",,,,,,,,,,,
,,학생,"우선 학과랑 관련이 적어도 활동에 적극성이 보이면 좋은 평가를 받을 수 있나요?
그리고 동아리 활동을 하면서 칼럼을 쓰는 과제를 했는데, 내용은 필수 의료분야의 의사부족문제였습니다. 이런 것이 사회학과에 진학할 때 유리한지도 궁금해요. 그리고 지금 성적으로 어느 대학까지 갈 수 있을 지도요",,,,,,,,,,,
,,선생님,가고싶은 학과에 지원하는 데에 활동한 내용이 얼마나 유리할지 알고 싶었구나. 활동의 주제가 달라도 학생의 능력이 얼마나 발휘되었는지도 중요한 요소라고 볼 수 있어. 예전에 사회학과를 지원한 학생들이 어떤 활동을 했는지는 같이 상담하면서 선생님이 정확히 알려줄 수 있을 것 같아.,,,,,,,,,,,
,,학생,네 그리고 지금 성적으로 어느 대학 갈 수 있는지도 알고싶어요,,,,,,,,,,,
,,선생님,그래. 생기부 같이 보면서 자세히 상담하도록 하자. 또 궁금한 점 있니?,,,,,,,,,,,
,,학생,"사회학과 목표라고 했는데, 사회학과가 분야가 다양해서 생기부 준비할 때 한 분야로 집중해서 탐구를 해야할지 아니면 다양하게 걸쳐서 진행하는게 좋을지 헷갈려요",,,,,,,,,,,
,,선생님,"뚜렷한 목표가 있다면 집중해서 탐구해도 좋지만, 그렇다고 해서 유리하거나 불리하다고 말하긴 어려워. 중요한건 어떤 부분에 관심이 있어서 공부하고 활동하면서 성장했냐는 거야. 어떤 활동을 하면 좋을지 상담하면서 얘기해보자.",,,,,,,,,,,
,,학생,네 감사합니다.,,,,,,,,,,,
061,(진학) 입시,선생님,어서 오렴. 그동안 잘 지냈지? 오늘은 뭘 도와줄까?,,,,,,,,,,,
,,학생,"선생님~ 제가 6월 모의 수능 성적이 나왔는데, 이 성적으로 갈 수 있는 대학이 있는지 궁금해요.",,,,,,,,,,,
,,선생님,은서가 이번에 6모성적이 나와서 갈 수 있는 대학을 궁금해 하는구나.,,,,,,,,,,,
,,학생,"재수생도 많아지고, 학생부로 갈 수 있는 대학과 비교해서 어느 쪽이 제게 유리한지도 비교해보고 싶어요",,,,,,,,,,,
,,선생님,"그래, 그럼, 먼저 네  학생부를 보면서 교과 성적과 비교과 내용을 분석해서 수시로 갈 수 있는 대학을 알아보고, 6모 성적을 토대로 이 성적이 수능에서 나온다고 가정하고, 갈 수 있는 대학에 대해 함께 알아보자.",,,,,,,,,,,
062,(진학) 입시,선생님,어서 오렴. 그동안 잘 지냈지? 오늘은 뭘 도와줄까?,,,,,,,,,,,
,,학생,"생님. 제가 6월 모의 수능 성적이 나왔는데, 망쳤어요. 이 성적으로 갈 수 있는 대학이 없는 것 같아서 속상해요. 정시 말고 어떤 전형이 있을까요?",,,,,,,,,,,
,,선생님,"은서가 6모를 많이 못봤나보다. 너무 실망하지 말고, 그동안 열심히 학교 생활 했으니 선생님과 함께 하나씩 알아보자.",,,,,,,,,,,
,,학생,수시에는 어떤 전형들이 있을까요?,,,,,,,,,,,
,,선생님,"수시에는 학생부 교과, 학생부 종합, 실기 전형, 논술 전형 등이 있어. 일단 네 학생부를 보고, 네가 그동안 어떤 준비를 했고, 어떤 면에서 강점이 있는지 하나씩 선생님과 함께 알아보자~",,,,,,,,,,,
063,(진학) 입시,선생님,입시 준비를 시작하려고 한다고 들었어요. 어떤 대학을 목표로 하고 있나요?,,,,,,,,,,,
,,학생,"아직 정확하게 정하지는 않았는데, 제 성적에 맞는 대학을 찾고 있어요.",,,,,,,,,,,
,,선생님,성적은 현재 어느 정도인가요? 그리고 어느 정도의 대학을 목표로 하고 있나요?,,,,,,,,,,,
,,학생,"성적은 상위권이긴 한데, 최상위권 대학은 무리일 것 같아서요. 중상위권 정도를 목표로 하고 있어요.",,,,,,,,,,,
,,선생님,그렇다면 내신과 수능 점수에 맞춰 지원할 수 있는 전형을 찾아보는 게 좋겠네요. 성적 외에 비교과 활동은 어떤가요?,,,,,,,,,,,
,,학생,비교과 활동은 많이 해보진 않았어요. 이게 영향을 많이 주나요?,,,,,,,,,,,
,,선생님,비교과 활동은 일부 전형에서 중요한 요소가 될 수 있어요. 특히 학생부종합전형 같은 경우엔 활동이 중요한 역할을 하죠.,,,,,,,,,,,
,,학생,그럼 지금부터라도 활동을 시작해야겠네요.,,,,,,,,,,,
,,선생님,맞아요. 봉사활동이나 동아리 활동을 통해 다양한 경험을 쌓으면 도움이 될 거예요.,,,,,,,,,,,
,,학생,어떤 활동을 해야 가장 도움이 될까요?,,,,,,,,,,,
,,선생님,"본인의 진로와 연결될 수 있는 활동이 가장 좋아요. 그리고 꾸준함이 중요하니, 한두 가지 활동을 깊이 있게 해보는 게 좋겠어요.",,,,,,,,,,,
064,(진학) 입시,선생님,수능 준비는 어떻게 진행되고 있나요?,,,,,,,,,,,
,,학생,아직 수능 공부 계획을 구체적으로 세우지 못했어요. 어떻게 시작해야 할지 모르겠어요.,,,,,,,,,,,
,,선생님,우선 자신의 현재 실력을 파악하는 게 중요해요. 모의고사 성적은 어떤가요?,,,,,,,,,,,
,,학생,"모의고사 성적이 평균 정도 나오는데, 성적이 들쑥날쑥해서 걱정이에요.",,,,,,,,,,,
,,선생님,그렇다면 약한 과목을 먼저 파악하고 그 과목을 집중적으로 보완하는 게 좋겠어요. 어떤 과목이 가장 약한가요?,,,,,,,,,,,
,,학생,"영어가 좀 약한 편이에요. 단어 외우는 것도 어렵고, 독해가 잘 안 돼요.",,,,,,,,,,,
,,선생님,"영어는 기초를 탄탄히 다지는 게 중요해요. 단어장은 하루에 조금씩 꾸준히 외우고, 독해는 지문을 여러 번 읽어보는 연습을 하면 도움이 될 거예요.",,,,,,,,,,,
,,학생,시간이 부족할 것 같아서 걱정이에요.,,,,,,,,,,,
,,선생님,시간을 효율적으로 쓰기 위해선 하루 학습 계획을 세워서 시간 관리를 철저히 해야 해요. 영어 공부 시간을 따로 할당해보세요.,,,,,,,,,,,
,,학생,알겠습니다. 수능 공부를 좀 더 체계적으로 해봐야겠네요.,,,,,,,,,,,
065,(진학) 입시,학생,"안녕하세요, 선생님. 수능 준비 때문에 고민이 많아서 상담을 신청했어요.",,,,,,,,,,,
,,선생님,"그래, 수능 준비가 많이 힘들지? 어떤 부분이 가장 고민이야?",,,,,,,,,,,
,,학생,"저는 수학이 특히 걱정돼요. 다른 과목은 그래도 자신이 있는데, 수학만 성적이 안 나와서요.",,,,,,,,,,,
,,선생님,수학이 많이 어렵구나. 지금 어느 정도로 공부하고 있어?,,,,,,,,,,,
,,학생,"하루에 2시간씩 꾸준히 풀고는 있는데, 기출 문제를 풀 때도 실수가 자꾸 나와서 점수가 안 올라요.",,,,,,,,,,,
,,선생님,"실수는 기출을 반복하면서 줄일 수 있어. 일단 틀린 문제를 그냥 넘기지 말고, 왜 틀렸는지 이유를 확실히 분석해야 해. 그걸 꾸준히 정리해보면 좋아.",,,,,,,,,,,
,,학생,"틀린 문제 분석은 조금 귀찮아서 잘 안 하고 넘어갔는데, 그게 중요한가 보네요.",,,,,,,,,,,
,,선생님,"엄청 중요하지. 틀린 문제는 반드시 다시 풀어보고, 같은 유형이 나오면 실수하지 않게 연습하는 게 포인트야. 그리고 시간 배분도 중요해. 모의고사로 시간 관리도 연습해봐.",,,,,,,,,,,
,,학생,"네, 알겠습니다. 그러면 하루에 수학 공부를 몇 시간씩 더 늘려야 할까요?",,,,,,,,,,,
,,선생님,"시간도 중요하지만, 얼마나 집중해서 하느냐가 더 중요해. 너무 많은 시간을 투자하기보다는, 2시간을 하더라도 집중해서 틀린 문제를 정리하고, 그 부분을 확실히 해결하는 데 중점을 두는 게 좋아.",,,,,,,,,,,
066,(진학) 입시,학생,"안녕하세요, 선생님. 오늘은 언어영역이랑 영어 공부 방법에 대해 상담받고 싶어요. 두 과목 다 성적이 잘 안 나와서요.",,,,,,,,,,,
,,선생님,"그래, 언어영역이랑 영어 둘 다 힘들지. 어디부터 얘기해볼까? 언어영역 먼저?",,,,,,,,,,,
,,학생,"네, 언어영역이 정말 어렵더라고요. 지문이 너무 길고, 무슨 말을 하는 건지 헷갈릴 때가 많아요.",,,,,,,,,,,
,,선생님,"맞아, 언어영역은 긴 지문 읽기가 관건이야. 일단 지문을 빠르게 읽으려고 하기보다는, 문단별로 핵심 내용을 정리하면서 읽는 습관을 들이면 좋아. 중심 내용과 부차적인 내용을 구분하는 연습이 필요해.",,,,,,,,,,,
,,학생,중심 내용이랑 부차적인 내용을 어떻게 구분해야 할지 잘 모르겠어요. 중요한 부분을 놓치고 넘어가는 것 같아요.,,,,,,,,,,,
,,선생님,"그럴 땐, 각 문단의 첫 문장이나 마지막 문장을 잘 봐. 대개 중심 내용이 거기에 나오는 경우가 많거든. 그리고 기출문제를 풀면서 자주 나오는 유형을 파악하는 것도 좋아. 지문이 복잡해 보이더라도, 문제에서 묻는 핵심만 찾아내는 연습을 계속해야 해.",,,,,,,,,,,
,,학생,"네, 기출문제 분석을 더 해봐야겠네요. 그럼 영어는 어떻게 공부해야 할까요? 단어도 어렵고, 듣기도 자꾸 놓치는 것 같아요.",,,,,,,,,,,
,,선생님,영어는 먼저 기본이 되는 단어 실력을 확실히 다져야 해. 단어가 부족하면 해석이 어려울 수밖에 없거든. 하루에 외울 수 있는 양을 정해두고 꾸준히 반복하는 게 중요해. 그리고 듣기는 평소에 자주 듣는 게 좋아. 뉴스나 영어 방송을 들으면서 귀를 익히면 도움이 될 거야.,,,,,,,,,,,
,,학생,"듣기는 어느 정도 들리긴 하는데, 문제에서 요구하는 부분을 놓칠 때가 많아요.",,,,,,,,,,,
,,선생님,그건 집중해서 듣는 부분을 훈련하는 게 필요해. 듣기 문제는 보통 핵심 내용이 나오는 지점을 놓치면 점수를 잃기 쉽거든. 대화를 미리 예측해보는 연습을 해봐. 문제를 보기 전에 어떤 대화 주제일지 추측하면서 들으면 핵심 내용을 더 쉽게 잡아낼 수 있어.,,,,,,,,,,,
,,학생,"아, 대화 내용을 미리 예상하면서 듣는 거군요. 그 방법을 시도해볼게요. 그리고 영어 독해도 시간이 부족한데, 어떻게 하면 좋을까요?",,,,,,,,,,,
,,선생님,"독해는 시간을 효율적으로 쓰는 게 중요해. 우선, 지문을 다 읽고 문제를 푸는 것보다는, 문제부터 읽고 나서 지문의 어떤 부분에서 답을 찾아야 할지 감을 잡는 게 좋아. 문제에서 요구하는 정보만 빠르게 찾는 훈련을 반복하다 보면 시간을 절약할 수 있을 거야.",,,,,,,,,,,
,,학생,"문제 먼저 읽고 지문에서 답을 찾는 연습을 해야겠네요. 감사합니다, 선생님! 알려주신 방법으로 다시 해볼게요.",,,,,,,,,,,
,,선생님,"그래, 꾸준히 하다 보면 실력이 확실히 늘 거야. 또 궁금한 거 생기면 언제든지 와서 물어봐.",,,,,,,,,,,
067,(진학) 입시,학생,"선생님, 제가 대학교 전공을 아직 확실히 정하지 못해서 고민이에요.",,,,,,,,,,,
,,선생님,아직 결정하기 어렵지? 어떤 쪽으로 생각 중이야?,,,,,,,,,,,
,,학생,"경영학과 심리학 중에 고민 중인데, 제가 어느 쪽이 더 잘 맞는지 모르겠어요.",,,,,,,,,,,
,,선생님,두 전공 다 관심이 있는 거야?,,,,,,,,,,,
,,학생,"네, 경영학은 취업에 유리할 것 같고, 심리학은 제가 흥미를 느끼는 분야라서요. 둘 중 어느 쪽을 선택해야 할지 모르겠어요.",,,,,,,,,,,
,,선생님,"흥미와 취업, 두 가지가 고민인 거구나. 둘 다 중요한 요소야. 그런데 본인이 더 열정적으로 공부할 수 있는 분야가 무엇인지 먼저 생각해봐. 대학은 오래 공부하는 곳이니까.",,,,,,,,,,,
,,학생,"맞아요. 흥미가 있는 심리학을 가면 취업이 걱정되고, 경영학을 가면 재미없을까 봐 걱정돼요.",,,,,,,,,,,
,,선생님,"그럼 둘 다 관련된 수업을 찾아보거나, 학과 설명회를 들어보는 건 어때? 그리고 취업도 중요하지만, 대학에서 학업을 즐기면서 발전할 수 있는지를 더 고민해보면 좋아.",,,,,,,,,,,
,,학생,"알겠습니다. 그럼, 혹시 저한테 맞는 입시 전형도 좀 추천해 주실 수 있을까요?",,,,,,,,,,,
,,선생님,"현이는 내신도 좋고, 학생부 활동도 잘해왔으니까 종합 전형을 고려해보는 게 좋을 것 같아. 수능 최저가 있는지 확인하고, 그에 맞춰 준비하면 될 것 같아.",,,,,,,,,,,
068,입시,선생님,어서 와! 요즘 어떻게 지냈니? 오늘은 어떤 고민을 가지고 있니?,,,,,,,,,,,
,,학생,선생님 요즘 진짜 너무 고민이 많아요. 이번 6월 모의고사 성적이 기대만큼 안 나왔어요. 그래서 수능만으로 대학 가는 게 어려울 거 같아요,,,,,,,,,,,
,,선생님,그랬구나. 성적이 기대만큼 나오지 않으면 실망스러울 수 있어. 그런데 너무 걱정하지마 수능만이 답은 아니니까. 혹시 수시 전형은 생각해봤니?,,,,,,,,,,,
,,학생,네. 이번 성적을 보고 수시 전형도 생각하고 있어요. 근데 성적이 괜찮은지 잘 모르겠어요. 수시에 어떤 전형이 있는지도 잘 모르겠구요.,,,,,,,,,,,
,,선생님,"수시에는 학생부 교과, 학생부 종합, 그리고 논술 전형이나 실기 전형도 있어. 네가 그동안 교과 성적과 비교과 활동을 보고 어떤 전형이 더 유리할지 같이 살펴보면 좋겠어.",,,,,,,,,,,
,,학생,학생부보면 비교과 활동이 너무 부족하지 않을까 걱정이에요. 동아리 활동은 열심히하긴 했는데 큰 상 받은 것도 없고 저는 정시파이터였거든요.,,,,,,,,,,,
,,선생님,"정시 위주로 준비했다고 해도, 수시로 충분히 좋은 기회를 잡을 수 있어. 어떤 활동에 성실하게 참여했는지 그 과정에서 얻은 경험이 무엇인지가 중요해.",,,,,,,,,,,
,,학생,비교과 활동이 부족한 게 불리할 거 같아요.,,,,,,,,,,,
,,선생님,"꼭 그렇진 않아. 네가 했던 활동을 잘 정리하고, 그 활동에서 배운 점을 자기소개서나 면접에서 잘 표현하면 돼.",,,,,,,,,,,
,,학생,알겠습니다. 그럼 자기소개서도 준비하는 게 좋겠네요? 저 같은 경우는 어떤 부분을 강조하면 좋을까요?,,,,,,,,,,,
,,선생님,"동아리 활동이나 교과 공부를 하면서 느낀점, 그리고 앞으로의 계획을 진솔하게 작성하면 좋을 거 같아. 정시를 준비하면서도 학업에 열정을 가지고 꾸준히 노력한 점을 강조할 수 있을 거 같아.",,,,,,,,,,,
,,학생,넵 알겠습니다. 작성해서 보여드려도 될까요?,,,,,,,,,,,
,,선생님,좋아. 다음 상담때까지 자기소개서나 면접 준비 계획이나 내용을 확인하고 계속 같이 고민해보자.,,,,,,,,,,,
069,입시,학생,선생님 저 자소서랑 면접 준비 때문에 너무 걱정돼요. 어떻게 해야 될 지 모르겠어요,,,,,,,,,,,
,,선생님,"그래, 자소서랑 면접은 처음 준비하면 막막할 수 있지. 일단 자소서는 네가 했던 활동들을 정리하고, 그 활동에서 배운 점을 잘 표현하는 게 중요해.",,,,,,,,,,,
,,학생,그런데 제가 해온 활동들이 별로 특별하지 않아서 어떻게 쓰면 좋을지 모르겠어요.,,,,,,,,,,,
,,선생님,"활동이 특별하지 않더라도, 그 과정에서 네가 배운 점이나 성장을 잘 보여주는 게 중요해. 면접도 마찬가지야. 활동의 내용도 물론 중요하지만, 네가 어떻게 느끼고 어떤 성장을 했는지도 중요해.",,,,,,,,,,,
,,학생,"아, 그러면 활동을 정리하면서 제가 느낀점을 좀 더 깊게 생각해봐야겠네요.",,,,,,,,,,,
,,선생님,"맞아. 그리고 면접에서는 너무 긴장하지 말고, 네 생각을 솔직하게 말하면 돼. 준비한 만큼 자신감을 가지면 좋은 결과가 있을 거야.",,,,,,,,,,,
,,학생,감사합니다. 선생님! 좀 더 구체적으로 준비해볼게요.,,,,,,,,,,,
070,입시,선생님,상담 신청했지? 어떤 도움이 필요한지 물어봐도 될까?,,,,,,,,,,,
,,학생,"네, 수능 준비가 어려워서 상담을 받고 싶어요. 수능 준비를 어떻게 시작해야 될지 모르겠어요.",,,,,,,,,,,
,,선생님,지금 몇 학년이지?,,,,,,,,,,,
,,학생,"2학년이요. 아직 멀었다고 생각했는데, 다들 벌써 수능 준비한다고 해서...",,,,,,,,,,,
,,선생님,"그렇구나, 진행했던 모의고사는 다 봤니?",,,,,,,,,,,
,,학생,작년 6월이랑 9월에 봤어요. 근데 점수가 생각보다 잘 안 나왔어요.,,,,,,,,,,,
,,선생님,어떤 영역이 특히 어렵게 느껴졌어?,,,,,,,,,,,
,,학생,수학이요. 시간이 부족해서 다 못 풀었어요.,,,,,,,,,,,
,,선생님,수학에서 특히 시간 관리가 어려웠던 거구나. 다른 영역은 어땠어?,,,,,,,,,,,
,,학생,"국어는 그럭저럭이었는데, 영어는 모르는 단어가 많았어요.",,,,,,,,,,,
,,선생님,"그래 알겠어. 그럼 모의고사 성적을 바탕으로, 영역별로 어떤 준비가 필요한지 구체적으로 계획을 함께 세워보면 좋을 거 같아.",,,,,,,,,,,
071,입시,선생님,어떤 상담이 필요해서 왔니?,,,,,,,,,,,
,,학생,제가 어떤 전형으로 접수해야 대학을 갈 수 있을지 모르겠어요.,,,,,,,,,,,
,,선생님,지금까지 생각해본 전형이 있어?,,,,,,,,,,,
,,선생님,학생부 종합 전형이요. 근데 제가 특별한 활동이 없어서 안 될 거 같기도 하고... 고민이 많아요.,,,,,,,,,,,
,,학생,"고민이 많구나, 혹시 내신 성적은 어느정도인지 알 수 있을까?",,,,,,,,,,,
,,선생님,평균 2등급 초반대예요.,,,,,,,,,,,
,,학생,"그럼, 혹시 지금 생각하고 있는 대학이나 학과가 있어?",,,,,,,,,,,
,,선생님,경영학과를 가고 싶어요. 인서울 가고 싶은데 너무 욕심인가요?,,,,,,,,,,,
,,학생,"구체적인 목표가 있어서 다행이다. 다음 상담 때 네 현재 내신, 모의고사 성적, 학생부 기록을 종합적으로 보면서, 목표 대학의 다양한 전형들을 비교해볼까?",,,,,,,,,,,
,,선생님,네 선생님 그러면 좋을 거 같아요. 감사합니다.,,,,,,,,,,,
072,입시,학생,쌤 큰일 났어요. 저 대학교 못 가면 어떡해요,,,,,,,,,,,
,,선생님,대학교는 갈 수 있지. 가고 싶은 대학교를 못 갈까 봐 걱정을 해야지. 가고 싶은 대학이나 과는 있니?,,,,,,,,,,,
,,학생,대학교는 아직 못 정했고요. 과는 있어요. 승무원이 꿈이라서 항공과 목표하고 있어요.,,,,,,,,,,,
,,선생님,OO이도 수시를 생각 중이니? 보통 항공과 준비했던 학생들이 정시보단 수시로들 많이 도전하더라구.,,,,,,,,,,,
,,학생,아 그런가요? 저는 수능만 생각하고 모고 망해서 승무원 못 될까 봐 걱정했어요. 저는 그냥 승무원 될 수 있는 과만 가면 돼요. 지역도 어디든 상관없어요.,,,,,,,,,,,
,,선생님,"그럼 OO이 내신 성적이랑 모고 성적을 보자. 그리고 안전/상향 지원 가능한 학교들 좀 찾아보고, 더 수월하게 준비할 수 있는 입시 전형을 선택하면 좋을 것 같네.",,,,,,,,,,,
,,학생,저 내신도 자신 없어서 수능만 생각했는데 괜찮을까요?,,,,,,,,,,,
,,선생님,"수시가 뽑는 인원도 많고, 수능 최저도 없어서 좀 더 수월한 편이거든. 아직까지는 수시를 추천하고 싶은데 선생님도 OO이 성적을 봐야 좀 더 정확한 답변이 가능할 것 같아",,,,,,,,,,,
073,입시,학생,선생님 저 3월/6월 모의고사 성적표 가지고 왔어요,,,,,,,,,,,
,,선생님,OO이는 정시랑 논술 준비한다고 했지? 어디보자.. 성적이 많이 좋아졌네. 근데 서울대 인문대학은 수능 외에도 학교 성적을 보니까 절대 내신도 놓으면 안 되는 거 알지?,,,,,,,,,,,
,,학생,네네. 내신도 가능하면 최대한 신경써서 유지할 거예여.,,,,,,,,,,,
,,선생님,일단 고사 성적표 보니 다른 과목에 비해 국어가 어렵니?,,,,,,,,,,,
,,학생,그건 아니고요. 아침잠이 많아서 집중이 잘 안 되는 게 문제에요,,,,,,,,,,,
,,선생님,그럼 앞으로 수능 대비해서 수능 시간표에 맞춰 컨디션을 맞추는 노력이 필요할 것 같네,,,,,,,,,,,
,,학생,고칠 수 있을까요?,,,,,,,,,,,
,,선생님,"성적도 점점 좋아지도록 노력했는 데, 당연히 컨디션 조절도 노력하면 바뀌지 않을까? 컨디션 조절도 결국 능력 싸움이니까 OO이는 할 수 있을거야",,,,,,,,,,,
074,입시,선생님,OO이는 장래희망이 정해졌다고 했지?,,,,,,,,,,,
,,학생,넵. 저는 유치원선생님이 되고 싶어요. 그래서 과를 찾아봤는데 생각보다 다양해서 어떤 걸 집중적으로 선택할지 모르겠어요.,,,,,,,,,,,
,,선생님,알아본 과들이 무엇일까?,,,,,,,,,,,
,,학생,"유아교육과, 유아교육학과, 아동복지과, 아동학과, 아동복지학과요. 커리어넷에 검색하니까 이렇게 나오더라구요. 내용도 거의 비슷해서 잘 모르겠어요",,,,,,,,,,,
,,선생님,그렇네 과명만 들어봐도 거의 비슷해서 선택에 어려움이 있을 것 같네. 선생님이 알고 있는 걸 좀 쉽게 설명해 주자면 유아교육과는 사범대 소속이라 좀 더 유아 교육에 전문적인 내용을 배우는 것으로 알고 있어.,,,,,,,,,,,
,,학생,저는 가능하면 좀 더 전문적인 유치원 선생님이 되고 싶어요.,,,,,,,,,,,
,,선생님,그러면 찾아본 과들의 차이점과 향후 연관 직업들을 찾아보고 OO이가 생각하는 전문적인 선생님과 맞는 부분을 알아보자. 우선 선생님이 관련된 사이트를 알려줄테니까 한번 찾아서 보고 다시 상담을 해볼까?,,,,,,,,,,,
075,입시,학생,"선생님, 안녕하세요.",,,,,,,,,,,
,,선생님,"안녕, 오늘 '입시' 관련해서 상담을 받고 싶다고 써 놨더라. 구체적으로 무엇이 궁금하니?",,,,,,,,,,,
,,학생,"네, 맞아요. 현재 정시를 준비하고 있는데... 제가 수시로 딱히 승부를 걸 만한 게 없어서요.",,,,,,,,,,,
,,선생님,그래? 이제껏 학교 생활을 하면서 차곡차곡 모아온 OO이만의 특색이 담긴 기록이 있을 텐데. 반드시 정시여야 하는 이유가 있니?,,,,,,,,,,,
,,학생,내신이 별로거든요. 사실 제가 1학년 때 성적이 많이 안 좋아요. 그리고 모의고사 등급이 내신 등급보다 잘 나오기도 하고...,,,,,,,,,,,
,,선생님,"어디 보자... 음, 구체적인 분석은 좀 더 필요하겠지만, 선생님이 보기에 이 정도 등급 차는 많이들 나긴 해. 수시를 완전히 포기하기에는 좀 아까운 거지.",,,,,,,,,,,
,,학생,지금 이것도 겨우 받은 내신 성적이라서요. 차라리 이 시간에 수능 공부를 하는 게 낫지 않을까 싶어요.,,,,,,,,,,,
,,선생님,한쪽에 치우친 전략은 그만큼 위험 부담이 있기 때문에... 선생님으로서는 안전한 전략을 추천한다만. 오늘은 OO이의 의견을 좀 더 들어보고 앞으로의 계획을 좀 더 상세히 살펴봐야겠구나.,,,,,,,,,,,
076,입시,학생,"선생님, 안녕하세요!",,,,,,,,,,,
,,선생님,오랜만이야. 그동안 잘 지냈니?,,,,,,,,,,,
,,학생,"네, 선생님.",,,,,,,,,,,
,,선생님,지난 번 상담 때 고민했던 대학교 학과나 전공에 대해서 생각해 보았니?,,,,,,,,,,,
,,학생,네. 오늘도 그 상담하러 온 거예요. 저번에는 막연하게 게임을 좋아하니까 프로그래밍 관련 학과를 생각했었는데...,,,,,,,,,,,
,,선생님,"그래, 그랬지.",,,,,,,,,,,
,,학생,저 기후 관련 학과로 진로를 정했어요.,,,,,,,,,,,
,,선생님,그래? 갑자기 환경공학과나 지구과학과를 생각하게 된 이유는 뭐지?,,,,,,,,,,,
,,학생,"사실 게임은 그냥 취미이고 가까이 있다 보니 막연히 그렇게 생각했던 거고요. 그보다는 기후변화나 해양 환경 같은 거에 관심이 많거든요. 지난번에 자연 다큐멘터리를 보면서 엄청 감동받았고, 그동안 독후감 써 놓은 거 보니까 환경 분야 책도 꽤 많았더라고요.",,,,,,,,,,,
,,선생님,비로소 관심사를 찾은 거구나!,,,,,,,,,,,
,,학생,"네, 그래서 제가 찾아보니, 학과 이름이 서로 비슷비슷해서 또 모르겠는 거예요. 환경공학과, 지구해양과학과, 천문학과, 환경생태공학과, 환경에너지공학과, 환경학과, 해양바이오공학과... 서로 조금씩 다른 걸 배울 것 같아서 또 선택을 해야 되더라고요.",,,,,,,,,,,
,,선생님,"비슷해 보이는 학과명이어도, 학교나 학과마다 커리큘럼이나 배우는 것이 조금씩 다르기도 해. 이럴 땐 각 대학교 홈페이지를 참고해 보는 것도 좋아. 오늘은 OO이의 희망 진학 학과 범위를 좀 더 좁혀보자.",,,,,,,,,,,
077,입시,학생,쌤 저 성적에 맞는 대학 좀 추천해주세요. 드라마 작가가 꿈인데 알맞은 학과나 성적이나 걸리는 점이 많아요,,,,,,,,,,,
,,선생님,하고 싶은 일에 맞게 학과를 찾고 있는거구나! 드라마 작가는 글을 써야하니까 글쓰는 학과는 문예창작학과가 대표적이지. 하지만 반드시 가야하는 것은 아니니까 조금 폭넓게 생각해보는 게 좋겠다. 혹시 성적은 지금 어떻게 될까?,,,,,,,,,,,
,,학생,일단 2학년 기준 내신 6등급이에요.,,,,,,,,,,,
,,선생님,그렇구나. 앞으로 성적을 올리는 것도 생각해보자. 우선 말해준 내신 기준으로 선생님이 대학이랑 학과 어디가 좋을지 같이 고민해볼게. 혹시 생각해본 대학은 있어?,,,,,,,,,,,
,,학생,아니요 정해진게 없어요. 근데 웬만하면 여기 충청도 지역이면 좋고 경기도까지 괜찮을 것 같아요.,,,,,,,,,,,
